iter	Passed	Remaining
0	4	4240
1	6	3093
2	8	2697
3	10	2633
4	12	2528
5	14	2396
6	16	2390
7	18	2322
8	20	2241
9	21	2175
10	24	2162
11	26	2173
12	28	2173
13	30	2170
14	32	2122
15	34	2113
16	36	2088
17	38	2085
18	40	2079
19	42	2081
20	44	2067
21	46	2059
22	47	2030
23	49	2006
24	52	2036
25	54	2044
26	56	2021
27	57	2005
28	59	1998
29	61	1979
30	63	1972
31	67	2036
32	69	2025
33	70	2007
34	72	2001
35	74	1994
36	76	1979
37	77	1964
38	79	1969
39	82	1975
40	83	1963
41	85	1946
42	87	1939
43	89	1933
44	90	1920
45	92	1920
46	94	1920
47	96	1917
48	98	1904
49	99	1894
50	101	1888
51	103	1879
52	106	1909
53	110	1928
54	111	1919
55	112	1904
56	114	1891
57	116	1890
58	118	1887
59	120	1883
60	123	1894
61	124	1890
62	126	1881
63	127	1870
64	129	1865
65	132	1870
66	134	1872
67	136	1869
68	138	1863
69	140	1861
70	142	1860
71	143	1853
72	146	1864
73	148	1859
74	150	1855
75	153	1865
76	155	1860
77	157	1856
78	158	1851
79	160	1842
80	161	1831
81	163	1828
82	165	1823
83	167	1822
84	169	1820
85	170	1815
86	172	1814
87	174	1809
88	176	1809
89	179	1815
90	181	1817
91	183	1814
92	186	1814
93	188	1812
94	189	1804
95	191	1801
96	193	1802
97	195	1802
98	197	1800
99	199	1798
100	201	1795
101	203	1790
102	205	1787
103	207	1786
104	209	1787
105	211	1786
106	213	1781
107	215	1778
108	217	1774
109	218	1771
110	221	1772
111	223	1771
112	225	1769
113	227	1768
114	229	1764
115	230	1759
116	232	1752
117	234	1753
118	236	1754
119	239	1753
120	241	1753
121	242	1746
122	244	1743
123	246	1739
124	248	1739
125	250	1740
126	252	1735
127	254	1733
128	256	1732
129	258	1728
130	259	1723
131	261	1720
132	264	1721
133	266	1719
134	268	1720
135	270	1717
136	272	1714
137	274	1711
138	277	1715
139	279	1715
140	281	1716
141	283	1711
142	285	1708
143	287	1706
144	288	1701
145	290	1701
146	294	1706
147	296	1706
148	298	1705
149	300	1702
150	302	1698
151	304	1697
152	308	1706
153	310	1704
154	311	1700
155	313	1696
156	315	1691
157	316	1686
158	317	1680
159	319	1677
160	321	1674
161	323	1672
162	325	1669
163	326	1665
164	328	1662
165	330	1658
166	331	1655
167	334	1655
168	336	1656
169	338	1653
170	340	1649
171	341	1644
172	343	1641
173	344	1636
174	346	1633
175	348	1633
176	350	1631
177	352	1627
178	354	1624
179	355	1621
180	357	1617
181	358	1613
182	361	1615
183	363	1613
184	365	1612
185	367	1610
186	369	1606
187	371	1602
188	372	1600
189	375	1599
190	387	1642
191	389	1637
192	390	1634
193	392	1632
194	395	1632
195	396	1628
196	398	1624
197	400	1621
198	401	1617
199	403	1613
200	405	1610
201	407	1609
202	409	1608
203	411	1604
204	412	1600
205	414	1597
206	415	1593
207	417	1588
208	418	1585
209	420	1583
210	422	1581
211	424	1577
212	425	1572
213	427	1569
214	428	1565
215	430	1561
216	431	1557
217	433	1555
218	435	1552
219	437	1550
220	438	1546
221	440	1543
222	441	1539
223	443	1535
224	444	1531
225	445	1526
226	447	1524
227	449	1522
228	451	1519
229	452	1515
230	454	1511
231	455	1507
232	456	1503
233	457	1499
234	459	1494
235	460	1490
236	461	1486
237	463	1484
238	465	1481
239	466	1478
240	468	1475
241	469	1471
242	471	1467
243	472	1463
244	473	1459
245	474	1455
246	476	1451
247	478	1450
248	480	1448
249	481	1445
250	483	1442
251	484	1439
252	486	1436
253	488	1433
254	489	1430
255	491	1428
256	504	1458
257	505	1455
258	507	1452
259	509	1450
260	511	1447
261	512	1443
262	513	1439
263	515	1436
264	516	1432
265	517	1429
266	519	1425
267	520	1421
268	522	1418
269	524	1417
270	525	1414
271	527	1411
272	528	1407
273	529	1403
274	531	1400
275	532	1396
276	533	1393
277	534	1389
278	536	1386
279	538	1384
280	540	1381
281	541	1378
282	542	1374
283	543	1371
284	545	1367
285	546	1364
286	547	1361
287	549	1357
288	550	1355
289	552	1353
290	554	1350
291	555	1347
292	557	1344
293	558	1340
294	559	1337
295	561	1334
296	562	1330
297	563	1327
298	565	1324
299	566	1322
300	568	1320
301	570	1318
302	572	1316
303	573	1313
304	575	1310
305	576	1307
306	577	1304
307	579	1301
308	581	1300
309	583	1298
310	584	1295
311	586	1293
312	587	1290
313	589	1287
314	590	1284
315	592	1282
316	594	1280
317	596	1278
318	597	1276
319	599	1273
320	600	1271
321	602	1268
322	603	1264
323	604	1262
324	606	1259
325	607	1256
326	609	1254
327	610	1251
328	612	1248
329	613	1246
330	616	1245
331	617	1242
332	619	1239
333	620	1237
334	622	1234
335	623	1232
336	625	1230
337	626	1227
338	628	1225
339	630	1224
340	632	1221
341	633	1219
342	635	1216
343	636	1213
344	638	1211
345	640	1210
346	642	1209
347	644	1207
348	646	1206
349	648	1205
350	651	1204
351	653	1202
352	655	1201
353	658	1202
354	661	1201
355	663	1199
356	665	1198
357	667	1196
358	669	1195
359	672	1195
360	674	1193
361	676	1192
362	678	1190
363	680	1188
364	682	1186
365	684	1185
366	686	1184
367	688	1182
368	690	1181
369	692	1179
370	694	1177
371	696	1175
372	698	1174
373	701	1173
374	703	1171
375	705	1170
376	706	1168
377	708	1166
378	710	1164
379	712	1163
380	715	1162
381	717	1160
382	719	1158
383	721	1156
384	722	1154
385	724	1153
386	727	1151
387	729	1150
388	731	1148
389	733	1147
390	735	1145
391	737	1143
392	738	1141
393	741	1141
394	743	1139
395	746	1138
396	748	1136
397	749	1134
398	751	1132
399	753	1130
400	756	1129
401	758	1128
402	760	1126
403	762	1124
404	764	1122
405	765	1120
406	767	1118
407	769	1117
408	772	1116
409	774	1114
410	776	1112
411	778	1110
412	780	1109
413	783	1108
414	785	1107
415	787	1105
416	789	1103
417	790	1100
418	792	1098
419	793	1095
420	794	1093
421	796	1091
422	799	1090
423	801	1089
424	804	1087
425	805	1085
426	807	1082
427	808	1080
428	810	1078
429	812	1076
430	814	1075
431	816	1073
432	818	1071
433	819	1069
434	821	1067
435	823	1065
436	825	1064
437	828	1062
438	830	1061
439	832	1059
440	834	1058
441	836	1056
442	839	1055
443	841	1054
444	844	1052
445	846	1051
446	847	1049
447	851	1048
448	855	1049
449	859	1049
450	861	1048
451	863	1046
452	865	1045
453	868	1044
454	870	1043
455	873	1041
456	875	1039
457	877	1038
458	879	1037
459	882	1036
460	886	1035
461	888	1034
462	890	1033
463	893	1031
464	896	1031
465	898	1030
466	901	1028
467	903	1027
468	905	1025
469	908	1024
470	910	1022
